1,0.307384
2,0.295831
3,0.306139
4,0.290128
5,0.307588
6,0.301056
7,0.298636
8,0.311056
9,0.303318
10,0.327368
11,0.311462
12,0.314972
13,0.283706
14,0.243472
15,0.276344
16,0.307432
17,0.332068
18,0.289242
19,0.310777
20,0.343548
21,0.339947
22,0.378342
23,0.287856
24,0.205128
25,0.248333
26,0.265182
27,0.348765
28,0.227679
29,0.373313
30,0.340000
31,0.316129
32,0.439583
33,0.370766
34,0.330317
35,0.280000
36,0.450617
37,0.349421
38,0.312500
39,0.162393
40,0.332500
41,0.182927
42,0.386905
43,0.334884
44,0.348485
45,0.427160
46,0.192029
47,0.390071
48,0.548611
49,0.134694
50,0.352000
51,0.519608
52,0.389423
53,0.327044
54,0.216049
55,0.490909
56,0.312500
57,0.526316
58,0.528736
59,0.305085
61,0.163934
62,0.266129
63,0.507937
64,0.015625
65,0.150000
66,0.196970
68,0.584559
69,0.173913
70,0.461905
71,0.056338
72,0.763889
73,0.339041
74,0.263514
75,0.206667
77,0.402597
80,0.168750
81,0.493827
83,0.831325
86,0.255814
87,0.586207
89,0.134831
90,0.600000
91,0.296703
92,0.119565
93,0.311828
95,0.571930
98,0.392857
99,0.010101
100,0.380000
102,0.823529
104,0.509615
105,0.495238
109,0.743119
110,0.109091
111,0.429429
115,0.000000
116,0.284483
119,0.277311
122,0.000000
125,0.512000
126,0.190476
128,0.242188
130,0.230769
133,0.120301
134,0.567164
149,0.442953
151,0.096026
152,0.322368
158,0.196203
161,0.503106
162,0.000000
163,0.355828
183,0.398907
211,0.298578
214,0.177570
219,0.730594
227,0.444934
228,0.877193
229,0.187773
